,0
12,Sistemnya sekarang benarbenar kurang ajar pasti setiap kali dari epic  sampai legend  pasti reconnect sendiri terus menerus dan tidak bisa masuk ingame padahal sinyal lancar banget memori dan ram juga masih banyak Mohon diperbaiki jangan bikin sistem yang kurang ajar
13,Masalah jaringan tidak nyaman Sebelumsebelumnya meski kuning tetap bisa bermain Sekarang meski hijau kalau mencapai ping  hero ngefreeze tidak bisa digerakkan Selanjutnya hanya bisa menonton AI yang memainkan Menonton itu tidak menyenangkan
14,Sebenarnya game ini bagus cuman mohon untuk memperbaiki macthmaking nya moonton terutama pada rekan tim sehingga bisa seimbang jangan ngasih musuh yang jago sedangkan rekan tim kaya bot susah untuk menaikkan bintang apalagi di rank banyak ku temui rekan tim yang tidak mau bekerja sama ada yang nge feed dari early sampai late game bahkan main semaunya sendiri Tolong untuk pihak developer untuk memperbaiki sistem macthmaking
15,Mobile legen semakin update semakin banyak leg banyak bug Joistik tibatiba gk bisa di gerakan tanpa ada gangguan dari sinyal atau yg lain Skil makin susah di tekan Hiro sering jalan sendiri berlawanan dengan analog Hiro sering cari target sendiri tanpa di arahin
16,Sebagai player yang sudah lumayan lama saya menemukan masalah baru yang membuat tidak nyaman berkenaan dengan resource datatolong fix masalah ini singkatnya saat semua resource sudah di download tetapi sebagian hal seperti tampilan Herotampilan skil juga efek suara skill bahkan spelljuga slide yang ada di map tidak berada di sana sebagaimana seharusnyadan itu sangat menggangu ini sangat merepotkan mencari data data yang hilang dan memasukkannya sendiri satu persatu ayolah tolong perbaiki
17,Dari bintang  langsung saya turunkan jadi bintang  Alasan Yah masa setelah update malah lag geraknya UI patah respons lambat Padahal HP saya termasuk range menengah keatas dengan RAM  GB  Extended RAM  GB ukuran ROM juga  GB dan memori masih luas aman tapi gamenya setelah update kok patahpatah Memang bagus tampilan UI nya yang baru tapi developer harus ingat ya game yang dimainkan online  Realtime performa jauh lebih penting daripada penampilan
18,Untuk moonton setelah update sistem bulan ini saya merasa kecewa dengan frame rate fps patah tidak lancar di lobby Untuk ram oke aja Gb per Gb jangan event doang lah yang ditingkatin syistem pelancaran game nya juga penting banget di game termasuk MLBB saya harap kata ini bisa menjadi pelajaran untuk moonton semoga di perbaiki kelanjutannya thnks🙏
19,Makin lama terasa berat gamenya Ditambah setiap update harus ulang unduh datanya Padahal jaringan saya lancar hp saya juga devicenya bagus tapi suka terasa lag dan crash saat war Ngunduh datanya lama banget dsb Semoga kalau ada update lagi diperbarui tentang sistem matchnya juga biar adil
20,Apps nya makin parah saya main costum bisa  jam gak masuk pertandingan dan saat di restart logintutup apps dan buka kembali Secara otomatis login untuk masuk pertandingan tapi bisa stak di loding ℅ sampai berjam jam Dan begitu seterusnya Game makin kacau
21,Hallo monton defsaya ada beberapa keluhan nihyg pertama tolong perbaiki sistem machmackingterutama pada rekan satu timkarena beberapa mach saya sering kali menemukan player yang sudah sangat pro dan hebatsedangkan saya masih pemulapada sistem jaringan yang kurang baik dan pembawaan game nya yg terasa sangat berat serta device yg jauh di bawah rata rata
22,Tolong diperbaiki soal rekan tim Tidak masuk akal jika tiba lose streak padahal awalnya selalu menang Jika hanya karena mempertahankan medal lebih baik rank itu sendiri dihapuskan atau sebaiknya dikelola dengan baik Mengingat game ini banyak dimainkan Tolong kenyamanan player diutamakan dari untung kalian sendiri Dark system sangat mengecewakan
23,banyak bug di season  iniiisering muncul mengunduh konten padahal udah di unduh semuanyaaaatotal kapasitas sudah  GB anapalagi yang harus di unduhdan gambar heronya bulatburik ga enak diliat tolong perbaikibikin kami gak nyaman bermaindan gak mau main lagimending balikin aja donlod data yang duluyang bisa di pausega kayak ginitiap login di suruh donlod data terusterus stuck disitu ga naik naik
24,ini game kenapa si habis update  pembaruan ke versi terbaru malah makin banyak bug nya mulai dari cek resource yang macet kalo ga gitu hero masih pada bulat padahal semua data sudah di download makin kesini ML makin buruk aja kualitas buruk data apk besar ga faedah besok kalo mau update di cek dulu apa ada sistem yg bermasalah atau kurang
25,Beberapa kekurangan game ini  Banyak pemain nge cheatbot yg terkesan sengaja dibiarkan agar org tertentu menang dan memiliki statistik bagus  Jaringan kurang bagus dan tidak fair antar masing player Terkesan ada player yg diberikan akses jaringan lebih baik dari yang lain  Statistik terkesan sudah diatur sistem Ketika anda menang selanjutnya akan dipersulit pada game berikutnya dengan modus digabung dengan pemain statistik jelek jaringan dibuat lag banyak gerakan otomatis
26,Matchmaking tidak seimbang sering di pertemukan dengan tim bot sementara musuh nya pro jaringan bagus tapi saat dalam pertandingan jaringan menjadi merah Seperti saat saya sedang bermain awalnya ping saya ms tapi tiba tiba ping saya langsung naik menjadi ms seperti itu terus jaringan tidak stabil  ping naik turun terus menerus membuat saya kesal
27,Untuk Moonton tolong perbaiki masalah jaringan karena banyak bug jaringan yang saya alami padahal saya sudah memakai WiFi yang bisa untuk bermain game seperti ini saya sudah mencoba melakukan double koneksi wifi  data tapi tetap saja masih terasa lag dari memori internal saya masih luas gb tetapi game seperti terasa berat dibandingkan S
28,Tolong kembalikan performa Mobile Legends seperti dahulu Saat sinyal tidak mudah jumpingjumping Tolong sesuaikan tim sendiri dan tim lawan Tolong berikan kami lawan yang seimbang tidak mudah namun tidak mempersulit Juga untuk data jangan terlalu besar Handphone ram gb mengkismengkis sesak d
29,Gimana mau maju  Memori yg di gunakan sampe gb  Katanya update biar bisa memiliki pengalaman bermain yg nyaman  Nyata nya itu hanya untuk yg punya gadget yg maewah dan canggih  Buat kaum HP kentang lag tidak teratasi padahal udah setingan smooth  Perubahan yang sangat mengecewakan 
30,Terlalu banyak bug  Update nya terlalu mendahulukan eventdaripada sinyal padahal eventnya tuitu itu saja setiap tahun dark system meresahkan merugikan pemain lain bahkan saya sendiri speed modenya gak terlalu berfungsi sama aja kayak gak speed mode  Untuk sinyal sama seperti no lagnya terlalu berlebihan saat main lagnya tidak berhenti sampai karakter tidak bergerak bahkan diberi peringatan anda tidak aktif  menit maka akan diberi sanksi Semoga bisa diperbaiki🙏
31,Untuk keseluruhan sudah bagus tapi setelah update ada beberapa yang harus di perbaiki  Terlalu banyak bug  Machtmaking tak sesuai  Perkara jaringansinyal yang suka lagtiba hilang ketika saat war Sekian Dari Saya Dan Terimakasih ⁠⁠
32,Untuk keseluruhan sudah bagus tapi nih masalahnya  Terlalu banyak bug  Machtmaking tak sesuai  Perkara jaringansinyal yang suka tiba lag ketika war  Update yang terlalu berat untuk beberapa device  TOLONG HAPUS DARK SYSTEM MOONTON Sekian Dari Saya TerimaKasih 
33,Sistem memulihkan skor kredit yg dibatasi perharinya sesuai tingkat pelanggaran kurang adil buat saya di daerah yang sering bermasalah jaringan Saya tidak masalah di hukum AFK karna jaringan bermasalah tapi memulihkan skor kredit yang sangat lama membuat saya kesal karna tidak bisa menggunakan mode RANK Pengen mengetik dikit snsor
34,Setiap main pas di loading main pas baru mulai harus nunggu bisa sampe  mnit lebih terus ada suara nging padahal hampir grafik semua hampir rata kiri resource aja pilih  Dapet tim diranked bagus diawal  match dpt bagus giliran match ke smpe setrusnya dpet dark system dapet tim ngetroll yang match nya masih puluhan lah Grafik hampir semua rata kiri kok masih bisa frame freeze Ini saya kasih bintang  semoga diperbaiki yang di fix itu sistemnya malah byk event sama update
35,Teruntuk untuk moonton di mohon perbaikan jaringannya yang tiba nge jumping dan juga perbaiki sistem matchmaking nya agar saat bermain game di temukan dengan musuh yg seimbang masa tim kek bot musuhnya jago jangan update event mulu tpi sistem ga pernah di update klo gini trus nnti ni game bakal jadi game rating terburuk Moga di respon🙏
36,Matchmaking yang sangat buruk khususnya untuk player soloketika main solo seringkali mengalami pertandingan yang sangatsangat tidak adil sebenarnya main untuk have fun saja kalah juga gapapa tapi kalo sistemnya dibikin semacam  vs  ya gabisa fun haha Memang sih Mobile Legends memegang puncak hierarki game mobile khususnya diasia tapi kalo sistemnya terusterusan seperti ini yaentahlah Untuk masalah yang lain masih bisa ditolerir tapi tidak untuk matchmaking ⁠⁠⁠⁠
37,Sebenernya udah bagus dari segi game Cuman kekurangan nya banyak jaringan suka hilang pas lagi main Pas mau mulai dapet lawan yg gak seimbang unduh resource nya terlalu memakan memori suka patah pas main lag Tolong ya diperbaiki lagi saya sebagai pemain di game ini kadang cukup dirugikan  Jadi tolong dipermudah TAMBAHAN   INI KENAPA YA JARINGAN SAYA MERAH KUNINGELULU PAS MAIN PADAHAL SAYA PAKE WIFI DARI KEMAREN GAK BERUBAH KEK GITU TERUS PADAHAL SEBELUMNYA UPDATE BAGUS AJA
38,Di aplikasi nya sering nge lag apalagi pas lagi war tulisannya jaringan buruk jaringan buruk padahal sinyal hp bagus Bikin kesel anj Jangan cuma skin aja yang di upgrade tapi kenyamanan pengguna nya juga Percuma banyak skin kalo pas main aja sering lag Terus matchmaking ga seimbang Gila ini game ngaco skin doang diperbarui tiap bulan dan otomatis memori nambah tapi permasalahan yang lebih penting ga diperbaiki
39,Ini kenapa ya setelah update ko malah jadi gajelas yahkenapa setiap saya ingin bermain rankclassic setiap loading di ingame ny ko malah ngelag yh Padahal pake wifi dan keadaan sinyal ny juga bagustiba keluar ke lobbytetapi tidak hanya sekalimatch ke  juga sama ngelag tetapi tidak keluar lobby Mohon kepada developer di perbaiki yang sebaik ny
40,Setelah update malah jadi jelek banget bug di manamana Resource skin dan hero sudah didownload  tetapi skin dan hero tetap saja tidak dapat dilihat Dari lobby sampai ingame bentuk hero masih saja bulat biru seperti saya sebelum mendownload resource dalam game Mohon moonton diperbaiki secepat mungkin bug ini
41,Untuk match terlalu ekstrim banyak orang ga jelas ikut main bikin susah naik rank Lebih disaring lagi untuk match Bedakan berdasarkan match Sinyal jaringan terlalu parah Ga ada sistem buat stabil jaringan Game buruk ga bisa membedakan mana yg feed mana yang ga bisa main Tolol
42,Gak usah lah bagi bagi data yang didownload bikin bug aja mulai dari gak bisa lihat demonstrasi skill beberapa bagian hero jadi bulat data hilang sendiri padahal gak ngaktifin pembersihan skin kalo bisa ya kembalikan kalo gak ya dioptimalkan fiturnya biar gak ada bug lagi
43,Akhir akhir ini setelah update ada beberapa bug sinyal jadi gak stabil padahal sinyal wifi lancar kursor analog dan skill terasa berat perlu effort buat menekannya terlalu sering dapat rekan tim AFK dan Troll serta match making di mode apapun gak imbang tolong perbaiki terutama MATCHMAKING DAN SINYAL Tolong segera perbaiki atau bakal berhenti memainkan MLBB 
44,Yang menjadi kendala saat saya memainkan game ini adalah sistem matchmaking season kemarin dan season ini sangat sulit mendapatkan tim yang bisa main menang hanya  kali tetapi kalahnya sampai  kali Sangat sulit untuk yang sering solo player lebih banyak kalah daripada menangnya Matchmaking sangat beda dengan season season sebelumnya semakin kemari sistem matchmakingnya semakin buruk
45,Oy kenapa habis update malah frameratenya sering drop Ini masalah bug atau emg servernya ga stabil Jaringan udah bagus pake wifi super cepat Kenapa malah in game fps sering drop apalagi pas war Ini kendalanya terjadi sehari setelah update patch baru tolong di perbaiki yg perlu diperbaiki ya developer
46,Ada faktor di game moba yang saya review antara lain     Tolong perbaiki sinyal terutama untuk kenyamanan saat bermain  kalo saya review di comment mobile legend kendala utama yaitu sinyal dan itu benar     Untuk update itu sudah bagus dan tidak masalah tapi lagilagi permasalahan nya yaitu sinyal dan itu benar    Kenapa update disetiap season itu tolong dikurangi dan perbaiki saja soal update yang mempengaruhi tiap player seperti sinyal yang naik turun kadang   ms ms 
47,Dari semua game yang pernah kumainkan ini game menempati urutan pertama masalah jaringan terburuk dan sangat tidak stabil Bahkan game fps seperti codm ping stabil di  dan meskipun ping jump ke  hanya ada sedikit delay dan tidak terlalu terasa l bahkan saat di ping  aku tidak merasakan satu pun masalah dan sering tidak sadar jika tidak melihat ping yang ada di angka  Juga terdapat banyak bug seperti saat jaringan down game nya terus menerus loading untuk menghubungkan keserver
48,Tolong diperbaiki sinyal dan kapasitas penyimpanan disetiap hp android tertentu dan matchmaking yg lebih seimbang Untuk teks terkadang masih suka bug untuk menyampaikan pesan ke teman selalu diberi peringatan oleh pihak moontonmohon dikoreksi lagi jika mengandung kata kurang sopan  sara gpp di ban untuk sementara
49,makin lama makin bosen karena dapet tim yg g bisa maen maen game bukannya bikin seneng malah bikin orang emosi suka ngeframe jaringan sering merah jg padahal udah di setting paling rendah tolong di perbaiki lagi buat semuanya biar kita maennya tuh seneng g emosi terus cari lawan yg seimbang jangan di lihat dari level ranknya aja tapi percuma ngomong panjang lebar tapi g ada jawaban apa pun dari pihak moonton
50,Sinyalnya sangat aneh sekali padahal double jaringan wifiseluler Sangat tidak stabil sering merah sendiri tanpa alasan yang jelas Bhkan ini Mlbb update jaringan terburuk Katanya sudah di fixs Tapi blm ada perubahan Sangat tidak nyaman sekali Padahal double jaringan dan spek hp sangat mendukung Cukup kecewa dengan jaringan Kalau masalah tim cukup adil kok Cuma jaringan nya sangat parah Turnamen agustusan pun jadi tidak maksimal performa nya Agustus ini sangatlah buruk untuk jaringan
51,Bagus sii tapi kenapa Lost streak terossss kadang menang kadang kalah Pun banyak yang ngecit Gw pernah kena dark sistem kalah sampe  kalidiperbaiki bug bug nya juga Dan perbarui sistem pertandingan agar imbang dengan lawansemoga di perbaiki ya 😊👍 Gua kasih bintang  gara gara banyak bugterimakasih
52,Menurut saya ini game moba yang paling bagus sih soal nya kalian dapat berkomunikasi dengan tim untuk menemukan ritme bermain kalian yang cocok kalo masalah fitur dan grafik sih gak usah di ragukan lagi hehe soal heromapsskin hero nya gak usah di raguin lagi keren
53,Saya memiliki keluhan terhadap game ini saya selalu mendapatkan tim yang tidak dapat di andalkan dalam permainan saya mengalami kekalahan sebanyak  kali lebih berturutturut saya sudah melaporkan nya ke form penyeimbangan matchmaking namun tidak kunjung mendapatkan perubahan diberi kemenangan pun hanya  kali dan pada pertandingan berikut nya kekalahan terjadi lagi Maka dari itu tolong untuk memperbaiki algoritma yang telah di janjikan berkali kali itu
54,Tolong Devoloper kalau di mode Creator Camp aku kan baru edit edit permainannya dan aku buat untuk umum pas udah mulai dan di pertengahan yang ada gambar gambar Hero musuh dan tim pas itu malah ada lag padahal sinyal bagus gw coba buat kaya gitu lagi  kali tetep gak bisa bisa tolong di perbaiki
55,Pliss lah muntun tolong apa kek perkecil memori game nya untuk player dengan HP RAM  juga susah buat main sudah patah lag pulak Keseluruhan sudah bagus hanya masalah memori saja Itu sudah cukup Kalau memori makin menambah makin banyak player ML pensiun main game ini
56,Halo mooonton tolong di perbaiki sistem match making dan juga optimasi jaringan karena pengalaman saya saat bermain itu selalu mendapatkan tim yang tidak seimbang dan juga jaringan yang selalu tiba tiba ada nge lag padahal sinyal nya sedang bagus kalau di buka apk lain dan juga tolong di perbaiki bug banyak bug yang menggangu player YANG PALING PENTING ADALAH SISTEM MATCHMAKING YANG TIDAK SEIMBANG TOLONG DI PERBAIKI
57,Tiap Log in Pasti Ada saat dimana selalu Recconecting Di Tampilan update pembaharuan saat ini Sehingga mau tidak mau harus On Mode Pesawat lalu hidupkan data kembali Sedangkan Tes Menggunakan Aplikasi Lain Scroll dan Nonton Normal dan Lancar
58,Game buruk system matchmaking game paling buruk yg pernah ada penyeimbangan tim tidak setara Setelah win x selanjutnya pasti lose x atau lebih stuck dan terus berputar seperti itu Jika tidak ada perbaikan mengenai penyeimbangan matchmaking game ini akan menjadi game moba dengan matchmaking terburuk yang pernah ada
59,Aku agak kecewa sama moonton Ini masalahnya ada banyak yang harus di revisi seperti kontroler yang ngebug misal nya itu jalan sendiri atau tidak bisa di gerakan atau error Dan untuk permasalahan matchmaking nya cukup serius seperti di rank mhytic honor bisa ketemu lejend atau yang sejenis nya
60,Moonton kalo ngasih tim yang bener dong masa tim ngetrol musuh pro kasih tim sm musuh yang seimbang dong jangan berat sebelah kalo bisa perbaiki ni game biar tim nya ga ngetrol terus makin lama makin ga bener ni game Tolong secepatnya di perbaiki kalo ga saya hapus aja ni game Saya kasih bintang satu dulu karena saya belum puas sama ni game  Jangan skin dong yang di banyakin monton perbaiki juga lah masalah sinyal sama tim nya skin diperbanyak buat apa ga ada gunanya GAME GA JELAS
61,Di season terbaru ini ntah kenapa performa game menurun drastis dari lag yang tidak jelaspadahal jaringan wifijaringan data seluler sangat bagus bug analog ga kepencetanalog lepas sendiri dari jari pemain mode lock hero lepas sendiri waktu ngedash dan pencocokan matchmaking yang tidak jelas membuat game terasa sulit dan banyak cheater yang menggunakan rwroom wangi dkdukuncheater yang menggunakan map hack doddodge matchmaking
62,Sebenarnya salut banget sama moonton karena ML jadi game yang bagus untuk dimainkan Namun hanya saja ada beberapa masalah yang tidak saya suka yaitu untuk matchmaking tidak seimbang seharusnya moonton lebih tahu bagaimana suatu tim bisa seimbang kemudian pada pingsinyal terkadang saat sinyal saya merah atau naik ada bug dimana notifikasi ping naik tidak keluar saat ditekan melainkan yang ada hanya sinyal hijau turun Mohon diperbaiki kembali
63,Banyak sekali bug sekarang Kemaren full udah download semua Tiba Hero ga nampak skin hilang ga nampak padahal download an full semua kecuali bahasa Di bagian menu pun gak ada tampilan hero nya Tolong di perbaiki
64,Untuk kesekian kali nya tetap Masalah nya selalu ngelaaaaag saya pribadi sudah menggunakan perangkat yang mumpuni  sinyal amat sangat bagus akan tetapi masih saja ngelag  saya sudah nyoba bermacam cara  jangan cuma mikirin masalah skin baru atau upgrade even saja  fikirin juga persoalan ngelag  kasih team tak sesuai  tidak seimbang  tolong di tanggapi
65,Makin lama makin parah lag mulu ketika team fight signal yg semula hijau langsung ngedrop jadi merah kadang ditengah war langsung ada tulisan menghubungkan ulang padahal sinyal hp dan wifi aman apakah moonton sudah tidak berfokus pada kenyamanan pemain dan hanya perduli pada upgrade skin dan hero baru Padahal masalah utama di game ini adalah performa lag nya yang makin parah dan kalo war rame tampilan jadi patah patah skill dan analog jadi delay dan ujungnya signal drop jadi merah payah
66,Keluh kesah banget nih hari ini Pliss lah dari pihak moonton tolong kondisi jaringan di stabilin jaringan saya buat Instagram youtube facebook dan lainlain lancar aja kenceng kapasitas jaringannya cuma kalo udah masuk ke mobile legend turun kapasitas kecepetan jaringannya drastis dan gua jadi afk keluar dari game dan  lagi kalo ngemacht musuh atau rekan tim yang sesuai lah masa di tim gua bot mm kill  exp kill  musuhnya keenakan gua sebagai user hyper capek
67,Game ini bagus tapi Banya keluhan yg moonton harus tau  Terjadi banyak bug yang meresahkan  Musuh tidak sesuai dengan tim  Terkadang jaringan yang stabil tiba tiba jadi buruk padahal sinyal nya baik  Saat pemilihan hero taerkadang banyak lag sehingga tidak bisa memilih hero  terkadang macet macet jadi susah gerak dan klo g cepet bisa di kill musuh Setelah di update lag fan bug semakin parah Saat main gambarnya diam g bisa gerak tau ny udh selesai dan jadi AFK padahal gd niat AFK
68,Aneh padahal penyimpanan masih banyak masa lag sedikit langsung relog gameplay ku rusak dibuat mootonkalau aku jago sigapapaaku tidak jago mooton ini ada apa si ini winrate udah habishabisanmasa gameplay pun mau dirusakdapat yang tim yang tidak kompak terusdapat lawan tidak kirakira skill nya kalau kaya gini terus kapan setiap player ada kemajuan performa kalau dibarengin sama timtim yang egoissaya bukan pro playerdiluar pemikiran saya kalo dapat tim yang ituitu terus
69,Halo moonton saya ada beberapa keluhan nih Yang pertama tolong perbaiki beberapa sistem matchmaking terutama pada rekan tim karna beberapa match saya sering sekali menemukan player yang sudah sangat pro sedangkan saya masih pemulasangat sulit rasanya ingin mengejar imortal
70,Ini update s banyak banget bug nya entah skill gambar telur potret skin ga muncul hero grafik low Padahal di seting grafik nya tinggi Setiap abis match download ulang fitur padahal udah di download semua
71,Tolong perbaiki lagi untuk jaringan nyatiba selalu jumpingdi tambah disaat mencari lawanitu kadang ga seimbang tim aku sama tim musuh seimbangkan lagi untuk pencaria mact making nya terutama dark sistemitu seperti terus menerus sehingga saya terlalu banyak kekalahanbaik di mode rank mau pun classic Nick saya🗿🗿🗿🗿
72,Sekarang game nya jadi gk jelas sering terjadi bug padahal sinyal saya lancar aja tapi malah nge freeze bikin gk mood main aja WR saya juga jadi turun karna keseringan bug trus sekarang banyak pemain yang ngetroll klo lagi nge rank jadi susah naik Tolong buat monton di perbaiki masalah jaringan nya soalnya saya sudah cape naikin wr malah jadi turun karena bug Intinya saya kecewa banget saya ml yang sekarang Dan tolong hapus drak system nya Terima kasih
73,Performa nya agak menurun ya saya rasa sinyal sering crash secara tiba tiba padahal jaringan  data seluler aman Itu saya rasakan di dua Simcard berbeda spek hp aman Ram apa masih kurang tolong diperbaiki termasuk pemilihan lawan main yg dirasa sangat jauh berbeda EDIT TERBARU  sekitar pukul  tadi saya main dan menemukan lag parah yang benar benar mempengaruhi permainan sehingga tim kami kalah Tolong perbaiki wahai Moontoon padahal jaringan saya normal sinyal full bar
74,Makin kesini grafik makin di tingkatkan tapi game terlalu berat dan gk bisa semua tipe chipset bisa mainin game nya apalagi ada yg user RAM  jadi makin susah buat login nya mau nyari yg versi lite pun blm tentu ukuran game bisa lebih kecil kadang sama aja dan malah terlalu berat buat chipset rendah
75,Banyak hal yg harus diperbaiki dalam game ini seperti yg aku alami saat ini kadang tombol tak bisa digunakan saat mau maju kadang tombol menyerang bermasalah mau gerak sendiri Memang game ini mengasyikkan tapi banyak masalah apa lagi mengenai lagbug sungguh sangat mengganggu saat permainan sengit Kadang mau keluar sendiri tanpa dikeluarkan begitu saya masuk lagi eehh malah dapat hukuman afk Sungguh mengecewakan dalam hal ini Tolong diralat kembali dengan teliti pihak moonton dgn teliti
76,Saya kasih bintang satukenapa setiap mau main ada kendala ngelag terus padahal jaringan saya sangat bagussemenjak apk nya d revamp kapasitas nya terlalu berat sehingga saya mau main ngelag parah dan tiba keluar sendir Tolong ubah lagi seperti dulu Semenjak d update temen saya pada gk main game ini lagi karena kapasitas nya yang terlalu beratdan pas awal mau main suka tiba keluar sendiringelag gk jelas padahal jaringan nya sangat bagus Saya akan pindah game saja
77,Pengalaman matchmaking yang sangat burukbukan hanya saya hampir semua user mengalami hal yang samayaitu mendapat tim yang tidak sepadan dengan musuhmusuh terlalu kuatsedangkan tim berisi player tidak bergunaseharusnya mlbb segera memperbaiki masalah jika tidak ingin peminat dan para usernya berkurang
78,Game aneh match bapuk dapet tim itu itu mulu sklillnya kasih yg sepadan sinyal juga kadang ilang udh pakek wifi  data masih aja di kasih dark sistem salah satunya saat gw mau maju nyergap musuh sinyal saat itu lancar eh tiba tiba dibuat lag  detik anpas gw lihat temen gw maen ml pakek wifi yg sama lancar lancar aja dia maen jan pilih kasih napa gw juga pengen naik rank gitu aja dipersulit saran saya perbaiki hal tersebut
79,Skrng MLBB jdi gmna sih  Banyak bug nya Minimal jangan smpe ngebug di loby kek ini event gk bisa di buka kalau main heronya jadi bola semua padahal download udh semua performa main juga jadi gk seimbang Mulu jadi gk seru pantes bnyk bngt player yg pensiun yang di perhatikan cuman kolab  new skin  revamp doank Tolong lah di perbaiki permasalahannya biar enak semuanya moontonnnnn
80,Game paling aneh dalam segi match up Main solo  kali dikasih team aneh Semoga kedepannya yang update bukan cuma tampilan in game tapi gamenya juga Semoga segenap development tambah bijak dalam menangani masalahmasalah yang udh lama tapi ga ditangani segera
81,Tadi pakai hero Aamon kenapa sering sekali salah sasaran Serangnyaa bukan hero lawan malahan ke Minion atau monster terus mau pakai skill nyaa udah di pencet gak aktif aktif berkalikali posisi dekat lagi terus mau mundur pastinya maju dulu baru mundur kalo jaringan aman warna hijau sampai pertandingan sampai selesai masih aman Sering terjadi dalam permainan Terima
82,Update yang tidak berguna Setelah terhapus dari hp saya dan saya download lagi itu ga bisa login pas sudah di loby auto keluar dan masuk lagi gtu terus padahal jaringan disni kecepetan sudah  mbps
